AncId, Desc1, Desc2, Branch Length 1, Branch Length 2
169, ASV 1295 Root Eukaryota Stramenopiles Ochrophyta Dictyochophyceae Dictyochophyceae X Florenciellales Florenciellales X Florenciellales X sp., ASV 2062 Root Eukaryota Stramenopiles Ochrophyta Dictyochophyceae Dictyochophyceae X Florenciellales Florenciellales X Florenciellales X sp., 0.0000000000, 0.0000000000
170, ASV 314 Root Eukaryota Stramenopiles Ochrophyta Chrysophyceae Chrysophyceae X Chrysophyceae Clade-H Chrysophyceae Clade-H X Chrysophyceae Clade-H X sp., ASV 535 Root Eukaryota Stramenopiles Ochrophyta Chrysophyceae Chrysophyceae X Chrysophyceae Clade-H Chrysophyceae Clade-H X Chrysophyceae Clade-H X sp., 0.0000000000, 0.0000000000
171, ASV 10 Root Eukaryota Archaeplastida Chlorophyta Mamiellophyceae Mamiellales Bathycoccaceae Bathycoccus Bathycoccus prasinos, ASV 14 Root Eukaryota Archaeplastida Chlorophyta Mamiellophyceae Mamiellales Bathycoccaceae Bathycoccus Bathycoccus prasinos, 0.0000000000, 0.0000000000
172, ASV 13 Root Eukaryota Archaeplastida Chlorophyta Mamiellophyceae Mamiellales Bathycoccaceae Bathycoccus Bathycoccus prasinos, 171, 0.0000000000, 0.0000000000
173, ASV 116 Root Eukaryota Stramenopiles Ochrophyta Pelagophyceae Pelagomonadales Pelagomonadales clade B Pelagomonadales clade B1 Pelagomonadales clade B1 sp., ASV 157 Root Eukaryota Stramenopiles Ochrophyta Pelagophyceae Pelagomonadales Pelagomonadales clade B Pelagomonadales clade B1 Pelagomonadales clade B1 sp., 0.0000000000, 0.0000000000
174, ASV 1164 Root Eukaryota Stramenopiles Ochrophyta Pelagophyceae Pelagomonadales Pelagomonadaceae Pelagomonadaceae clade C Pelagomonadaceae clade C sp., ASV 1347 Root Eukaryota Stramenopiles Ochrophyta Pelagophyceae Pelagomonadales Pelagomonadaceae Pelagomonadaceae clade C Pelagomonadaceae clade C sp., 0.0000000000, 0.0000000000
175, ASV 2 Root Eukaryota Archaeplastida Chlorophyta Mamiellophyceae Mamiellales Bathycoccaceae Ostreococcus Ostreococcus lucimarinus, ASV 52 Root Eukaryota Archaeplastida Chlorophyta Mamiellophyceae Mamiellales Bathycoccaceae Ostreococcus Ostreococcus lucimarinus, 0.0000000000, 0.0000000000
176, ASV 1092 Root Eukaryota Stramenopiles Ochrophyta Pelagophyceae Pelagomonadales Pelagomonadaceae Pelagomonas Pelagomonas calceolata, ASV 1403 Root Eukaryota Stramenopiles Ochrophyta Pelagophyceae Pelagomonadales Pelagomonadaceae Pelagomonas Pelagomonas calceolata, 0.0000000000, 0.0000000000
177, ASV 1171 Root Eukaryota Stramenopiles Ochrophyta Bacillariophyta Bacillariophyta X Polar-centric-Mediophyceae Thalassiosira NA, ASV 1249 Root Eukaryota Stramenopiles Ochrophyta Bacillariophyta Bacillariophyta X Polar-centric-Mediophyceae NA NA, 0.0000000000, 0.0000000000
178, ASV 985 Root Eukaryota Stramenopiles Ochrophyta Bacillariophyta Bacillariophyta X Polar-centric-Mediophyceae Thalassiosira NA, 177, 0.0000000000, 0.0000000000
179, ASV 83 Root Eukaryota Hacrobia Cryptophyta Cryptophyceae Cryptomonadales Cryptomonadales X Teleaulax Teleaulax sp., ASV 112 Root Eukaryota Hacrobia Cryptophyta Cryptophyceae Cryptomonadales Cryptomonadales X Teleaulax Teleaulax sp., 0.0000000000, 0.0000000000
180, ASV 118 Root Eukaryota Hacrobia Cryptophyta Cryptophyceae Cryptomonadales Cryptomonadales X Teleaulax Teleaulax sp., 179, 0.0000000000, 0.0000000000
181, ASV 906 Root Eukaryota Archaeplastida Chlorophyta Mamiellophyceae Mamiellales Mamiellaceae Micromonas Micromonas pusilla, ASV 1363 Root Eukaryota Archaeplastida Chlorophyta Mamiellophyceae Mamiellales Mamiellaceae Micromonas Micromonas pusilla, 0.0000000000, 0.0000000000
182, ASV 205 Root Eukaryota Stramenopiles Ochrophyta Pelagophyceae Pelagomonadales Pelagomonadaceae Aureococcus Aureococcus anophagefferens, ASV 298 Root Eukaryota Stramenopiles Ochrophyta Pelagophyceae Pelagomonadales Pelagomonadaceae Aureococcus Aureococcus anophagefferens, 0.0000000000, 0.0000000000
183, 162, ASV 71 Root Eukaryota Stramenopiles Ochrophyta Bacillariophyta Bacillariophyta X Polar-centric-Mediophyceae Chaetoceros Chaetoceros debilis, 0.0000000000, 0.0000000000
184, 170, ASV 471 Root Eukaryota Stramenopiles Ochrophyta Chrysophyceae Chrysophyceae X Chrysophyceae Clade-H Chrysophyceae Clade-H X Chrysophyceae Clade-H X sp., 0.0000000000, 0.0000000000
185, ASV 1560 Root Eukaryota Hacrobia Cryptophyta Cryptophyceae Pyrenomonadales Pyrenomonadaceae Rhodomonas Rhodomonas sp., ASV 2201 Root Eukaryota Hacrobia Cryptophyta Cryptophyceae Pyrenomonadales Pyrenomonadaceae Rhodomonas Rhodomonas sp., 0.0000000000, 0.0000000000
